first name,last name,title,year,genre,publisher,rating ,price
Yvonne,Vera,Opening Spaces: An Anthology of Contemporary African Women's Writing,1999, Anthologies,Heinemann,2,$14.52
None,,The Caine Prize for African Writing 2010: 11th Annual Collection,2010,African Fiction,New Internationalist,2,$13.46
Roger D.,Abrahams,African Folktales,1983,Travel,Knopf Doubleday Publishing Group,8,$18.95
Vincent,Carretta,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,2003,History,University Press of Kentucky,2,$30.00
Esi,Sutherland-Addy,Women Writing Africa: West Africa and the Sahel,2005,Literary Criticism,Feminist Press at CUNY,1,$29.95
None,,10 Years of the Caine Prize for African Writing: Plus Coetzee,2009,Literary Collections,New Internationalist,6,$18.95
Bayo,Ogunjimi,Introduction to African Oral Literature and Performance,2006,Anthropology & Sociology,Africa World Press,6,$23.95
Marie-Chantal, Kalisa,Violence in Francophone African and Caribbean Women's Literature,2009,Literary Criticism,UNP - Nebraska,9,$45.00
John William,Johnson,Oral Epics from Africa,2008,Literary Criticism,Indiana University Press,1,$24.95
Tony,Martin,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,1991,Literary Criticism,Majority Press,9,$14.95
Various,various,Land Apart: A South African Reader,1987,African Literature,Penguin Group (USA),9,$12.71
Amandina,Lihamba,Women Writing Africa: The Eastern Region,2007,Social Sciences,Feminist Press at CUNY,9,$29.95
Nobantu,Rasebotsa,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,2010,Places,NB Publishers,6,$22.13
Kevin,Powell,Step into a World: A Global Anthology of the New Black Literature,2000,Peoples & Cultures,Wiley John & Sons Inc.,2,$26.31
Werner,Sollors,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,2004,Language Arts,New York University Press,1,$32.23
New,Internationalist,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,2009,Short Story Anthologies,New Internationalist,6,$16.24
None,None,Traditions in World Literature: Literature of Africa,1999,Anthologies,Glencoe/McGraw-Hill,2,$7.55
Gcina,Mhlophe,Love Child,2002,African Literature Anthologies,University Of KwaZulu-Natal Press,7,$8.97
Jacana,Media,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,2006,Short Story Anthologies,Jacana Media,3,$25.13
Sheila,Meintjes,Women Writing Africa: The Southern Region: Volume 1,2002,Places,Feminist Press at CUNY,9,$1.99
ValZrie,Orlando,Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,2002,Fiction & Prose,The Rowman & Littlefield Publishing Group Inc,8,$82.00
Kenneth,W.,Less Than One and Double: A Feminist Reading of African Women's Writing,2001,Literary Criticism,Heinemann,10,$116.43
Anthonia,C.,The Rienner Anthology of African Literature,2007,African Literature Anthologies,Lynne Rienner Publishers Inc.,8,$30.39
Toyin,Falola,Oral and Written Expressions of African Cultures,2009,Anthropology & Sociology,Carolina Academic Press,7,$26.88
Monica,Arac,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,2008,Short Story Anthologies,New Internationalist,3,$16.18
Linda,Rode,Up the Down Escalator,2010,Literary Collections,NB Publishers,4,$10.95
K.,Limakatso,Basali!: Stories by and about Women in Lesotho,1995,Anthologies,University of Natal Press,4,$24.44
Lorenz,Graham,How God Fix Jonah,2000,Bible - Stories,Boyds Mills Press,10,$16.15
Arja,Salafranca,Glass Jars among Trees,2005,African Literature Anthologies,Jacana Media,8,$44.59
Isabel,Balseiro,Running Towards Us: New Writing from South Africa,2000,African Literature Anthologies,Heinemann,7,$33.63
Valerie,Key,Of Suffocated Hearts And Tortured Souls,2002,Social Sciences,Lexington Books,10,$27.95
Werner,Sollors,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,2004,Literary Criticism,New York University Press,2,$15.78
Ron,Padgett,Among the Blacks,1988,African Literature Anthologies,Avenue B,7,$14.00
Jon,Stewart,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,2010,Humor,Grand Central Publishing,2,$1.99
Dave,Eggers,The Best American Nonrequired Reading 2010,2010,American Literature Anthologies,Houghton Mifflin Harcourt,5,$11.17
Jon,Stewart,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,2010,Literary Collections,Hachette Audio,7,$24.98
Philip,Smith,100 Best-Loved Poems,1995,Poetry Anthologies,Dover Publications,6,$1.80
Wayne,Franklin,"The Norton Anthology of American Literature Shorter Seventh Edition",2007,American Literature Anthologies,Norton,4,$63.03
David,Wagoner,The Best American Poetry 2009,2009,Poetry,Simon & Schuster Adult Publishing Group,8,$23.87
Joyce,Carol,The Oxford Book of American Short Stories,1994,Biographies ,Oxford University Press,6,$19.95
Mary,Oliver,The Best American Essays 2009,2009,American Essays,Houghton Mifflin Harcourt,4,$13.56
Jerome,Klinkowitz,The Norton Anthology of American Literature,2007,American Literature Anthologies,Norton,8,$20.00
Barnes,Powell,Early African American Classics,2008,Slavery,Barnes & Noble,2,$24.95
Joan,R.,African-American Poetry: An Anthology,1997,Poetry Anthologies,Dover Publications,3,$1.80
Wally,Lamb,Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters,2004,American Literature Anthologies,HarperCollins Publishers,4,$10.59
Margaret,Ferguson,The Norton Anthology of Poetry,2004,Poetry Anthologies,Norton,10,$58.69
Amy,Gerstler,The Best American Poetry 2010,2010,Poetry Anthologies,Simon & Schuster Adult Publishing Group,4,$13.87
Henry,Louis,"Classic Slave Narratives: The Life of Olaudah Equiano The History of Mary Prince",2002,Slavery,Penguin Group (USA),4,$1.99
Dave,Eggers,The Best American Nonrequired Reading 2009,2009,Short Story Anthologies,Houghton Mifflin Harcourt,3,$14.39
Lee,Gutkind,In Fact: The Best of Creative Nonfiction,2004,Journalism ,Norton,3,$15.24
